"id","name","normalized_name","gender"
7,"Children","children","Unknown"
12,"Mechanical Santa","mechanical santa","Unknown"
13,"Tattoo Man","tattoo man","Unknown"
16,"DOCTOR ZITSOFSKY","doctor zitsofsky","Unknown"
20,"Students","students","Unknown"
24,"Little Boy","little boy","Unknown"
26,"Lewis Clark","lewis clark","Unknown"
27,"Little Girl","little girl","Unknown"
29,"Bubbles","bubbles","Unknown"
30,"Moldy","moldy","Unknown"
34,"Ticket Seller","ticket seller","Unknown"
35,"Elf #1","elf 1","Unknown"
36,"Elves","elves","Unknown"
37,"Dog's Owner","dogs owner","Unknown"
39,"Kids","kids","Unknown"
41,"Conductor","conductor","Unknown"
42,"Secretary","secretary","Unknown"
46,"Sydney","sydney","Unknown"
47,"Cecile Shapiro","cecile shapiro","Unknown"
48,"Ian","ian","Unknown"
49,"Calvin","calvin","Unknown"
50,"Martin Prince, Sr.","martin prince sr","Unknown"
51,"Richard","richard","Unknown"
53,"Wendell Borton","wendell borton","Unknown"
57,"Smilin' Joe Fission","smilin joe fission","Unknown"
58,"Rod #1","rod 1","Unknown"
59,"Rod #2","rod 2","Unknown"
60,"RODS","rods","Unknown"
61,"Workman #1","workman 1","Unknown"
62,"Foreman","foreman","Unknown"
63,"TERRI & SHERRI","terri sherri","Unknown"
64,"PUNK TEENAGER","punk teenager","Unknown"
65,"Tv Announcer #1","tv announcer 1","Unknown"
66,"Tv Announcer #2","tv announcer 2","Unknown"
67,"Jingle Chorus","jingle chorus","Unknown"
68,"Sylvia Winfield","sylvia winfield","Unknown"
69,"Old Man Winfield","old man winfield","Unknown"
70,"Councilman #1","councilman 1","Unknown"
72,"Councilman #2","councilman 2","Unknown"
73,"COUNCILMEN #1/#2","councilmen 12","Unknown"
74,"Demonstrator #1","demonstrator 1","Unknown"
75,"Crowd","crowd","Unknown"
76,"MR. GAMMILL","mr gammill","Unknown"
77,"TOM","tom","Unknown"
78,"Mrs. Long","mrs long","Unknown"
79,"Wife #1","wife 1","Unknown"
80,"Wife #2","wife 2","Unknown"
81,"Other Women","other women","Unknown"
82,"Nice Father","nice father","Unknown"
83,"Nice Boy","nice boy","Unknown"
84,"NICE GIRL","nice girl","Unknown"
85,"Nice Mother","nice mother","Unknown"
86,"NICE FAMILY","nice family","Unknown"
87,"Williams Boy","williams boy","Unknown"
88,"Mr. Williams","mr williams","Unknown"
89,"BOXING ANNOUNCER","boxing announcer","Unknown"
92,"TV-STATION ANNOUNCER","tv-station announcer","Unknown"
93,"Tv Wife","tv wife","Unknown"
94,"Tv Husband","tv husband","Unknown"
95,"Small Boy","small boy","Unknown"
97,"Pawn Broker","pawn broker","Unknown"
99,"Homer-ish Husband","homer-ish husband","Unknown"
100,"Weasel #1","weasel 1","Unknown"
102,"ALL AT THE TABLE","all at the table","Unknown"
103,"Kid","kid","Unknown"
104,"Weasel #2","weasel 2","Unknown"
105,"Maggie Simpson","maggie simpson","Unknown"
106,"Homer's Image","homers image","Unknown"
107,"Elderly Gentleman","elderly gentleman","Unknown"
109,"All","all","Unknown"
1,"Marge Simpson","marge simpson","Female"
8,"Bart Simpson","bart simpson","Male"
9,"Lisa Simpson","lisa simpson","Female"
17,"Moe Szyslak","moe szyslak","Male"
3,"Seymour Skinner","seymour skinner","Male"
11,"Ned Flanders","ned flanders","Male"
31,"Grampa Simpson","grampa simpson","Male"
71,"Chief Wiggum","chief wiggum","Male"
25,"Milhouse Van Houten","milhouse van houten","Male"
14,"Waylon Smithers","waylon smithers","Male"
101,"Nelson Muntz","nelson muntz","Male"
40,"Edna Krabappel-Flanders","edna krabappel-flanders","Female"
33,"Announcer","announcer","Male"
22,"Selma Bouvier","selma bouvier","Female"
18,"Barney Gumble","barney gumble","Male"
10,"Patty Bouvier","patty bouvier","Female"
38,"Martin Prince","martin prince","Male"
52,"Otto Mann","otto mann","Male"
91,"Lou","lou","Male"
5,"Todd Flanders","todd flanders","Male"
96,"Dr. Marvin Monroe","dr marvin monroe","Male"
43,"Dr. J. Loren Pyror","dr j loren pyror","Male"
6,"Dewey Largo","dewey largo","Male"
90,"Eddie","eddie","Male"
21,"Teacher","teacher","Male"
28,"Clerk","clerk","Male"
32,"Father","father","Male"
54,"Sherri Mackleberry","sherri mackleberry","Female"
4,"JANEY","janey","Female"
44,"Ms. Melon","ms melon","Female"
19,"Interviewer","interviewer","Male"
45,"Ethan Foley","ethan foley","Male"
55,"Terri Mackleberry","terri mackleberry","Female"
23,"Voice","voice","Male"
98,"Receptionist","receptionist","Female"
110,"Ms. Barr","ms barr","Unknown"
113,"Newsman","newsman","Unknown"
114,"Barflies","barflies","Unknown"
116,"Boy Onlooker","boy onlooker","Unknown"
117,"Champ","champ","Unknown"
122,"NED","ned","Unknown"
125,"Homer's Canyon Echo","homers canyon echo","Unknown"
126,"Camper Father","camper father","Unknown"
127,"Camper Mother","camper mother","Unknown"
128,"Photographer","photographer","Unknown"
129,"Game Warden","game warden","Unknown"
130,"Reporter #1","reporter 1","Unknown"
131,"Reporter #2","reporter 2","Unknown"
132,"Flunky","flunky","Unknown"
133,"Map Boy","map boy","Unknown"
134,"Man #1","man 1","Unknown"
135,"Man #2","man 2","Unknown"
136,"German Scientist","german scientist","Unknown"
137,"Beautiful French Scientist","beautiful french scientist","Unknown"
138,"English Scientist","english scientist","Unknown"
141,"Announcer #1","announcer 1","Unknown"
142,"Radio Announcer #1","radio announcer 1","Unknown"
143,"Churchgoing Woman","churchgoing woman","Unknown"
147,"Girl On Screen","girl on screen","Unknown"
148,"Boy On Screen","boy on screen","Unknown"
149,"Usher","usher","Unknown"
150,"Mr. Dandy","mr dandy","Unknown"
151,"Radio Announcer #3","radio announcer 3","Unknown"
152,"Jebediah Springfield","jebediah springfield","Unknown"
154,"TV ANNOUNCER #3 CONT'D","tv announcer 3 contd","Unknown"
155,"Mob","mob","Unknown"
157,"Waiters","waiters","Unknown"
158,"1st Waiter Quartet","1st waiter quartet","Unknown"
159,"2nd Waiter Quartet","2nd waiter quartet","Unknown"
160,"3rd Waiter Quartet","3rd waiter quartet","Unknown"
161,"4TH QUARTET OF WAITERS","4th quartet of waiters","Unknown"
162,"Counter Guy","counter guy","Unknown"
164,"HELEN","helen","Unknown"
166,"Another Worker","another worker","Unknown"
167,"Female Mail Carrier","female mail carrier","Unknown"
168,"Mr. Fisk","mr fisk","Unknown"
169,"Eugene Fisk","eugene fisk","Unknown"
172,"Workers","workers","Unknown"
173,"Princess Kashmir","princess kashmir","Unknown"
174,"Hoyt","hoyt","Unknown"
175,"Girl #1","girl 1","Unknown"
176,"Boy #1","boy 1","Unknown"
177,"All Kids","all kids","Unknown"
178,"Freddie","freddie","Unknown"
179,"Lewis's Dad","lewiss dad","Unknown"
180,"Al","al","Unknown"
181,"Happy Man","happy man","Unknown"
182,"Funky Guy","funky guy","Unknown"
184,"Man At Door","man at door","Unknown"
185,"Ticket-seller","ticket-seller","Unknown"
186,"Stage Manager","stage manager","Unknown"
188,"Theatre-goer #1","theatre-goer 1","Unknown"
189,"Theatre-goer #2","theatre-goer 2","Unknown"
190,"Theatre-goer #3","theatre-goer 3","Unknown"
193,"Steward","steward","Unknown"
195,"Adil Hoxha","adil hoxha","Unknown"
196,"UGOLIN","ugolin","Unknown"
198,"Male Announcer","male announcer","Unknown"
199,"Military Man","military man","Unknown"
200,"MARGE & BART","marge bart","Unknown"
201,"Gendarme","gendarme","Unknown"
202,"Cia Agent #1","cia agent 1","Unknown"
203,"Cia Agent #2","cia agent 2","Unknown"
204,"Brad","brad","Unknown"
205,"Female Announcer","female announcer","Unknown"
206,"Brittany","brittany","Unknown"
207,"ITCHY & SCRATCHY CHORUS","itchy scratchy chorus","Unknown"
209,"Police Artist","police artist","Unknown"
210,"Scott Christian","scott christian","Unknown"
212,"Reporter #3","reporter 3","Unknown"
215,"District Attorney","district attorney","Unknown"
216,"Merchant","merchant","Unknown"
211,"Kent Brockman","kent brockman","Male"
208,"Apu Nahasapeemapetilon","apu nahasapeemapetilon","Male"
165,"Lenny Leonard","lenny leonard","Male"
170,"Carl Carlson","carl carlson","Male"
153,"Sideshow Bob","sideshow bob","Male"
119,"Ralph Wiggum","ralph wiggum","Male"
144,"Jimbo Jones","jimbo jones","Male"
192,"Agnes Skinner","agnes skinner","Female"
145,"Kearney Zzyzwicz","kearney zzyzwicz","Male"
146,"DOLPH","dolph","Male"
214,"Judge Snyder","judge snyder","Male"
163,"Jacques","jacques","Male"
124,"Salesman","salesman","Male"
118,"Woman","woman","Female"
121,"Rod Flanders","rod flanders","Male"
183,"Manager","manager","Male"
111,"Bleeding Gums Murphy","bleeding gums murphy","Male"
123,"Cowboy Bob","cowboy bob","Male"
112,"Jacqueline Bouvier","jacqueline bouvier","Female"
171,"Waiter","waiter","Male"
187,"Gulliver Dark","gulliver dark","Male"
197,"Cesar","cesar","Male"
120,"Stan","stan","Male"
115,"Cashier","cashier","Male"
191,"Krusty Doll","krusty doll","Male"
213,"Lawyer","lawyer","Male"
194,"Mother","mother","Female"
217,"Foreperson","foreperson","Unknown"
219,"Merchandiser #1","merchandiser 1","Unknown"
220,"Merchandiser #3","merchandiser 3","Unknown"
221,"Kbbl Weatherman","kbbl weatherman","Unknown"
224,"Screener","screener","Unknown"
225,"Worker One","worker one","Unknown"
226,"Florist","florist","Unknown"
227,"Lucille Botzcowski","lucille botzcowski","Unknown"
228,"Maitre D'","maitre d","Unknown"
229,"Doofy","doofy","Unknown"
230,"U-Squeal Operator","u-squeal operator","Unknown"
231,"Tv Reporter","tv reporter","Unknown"
233,"Bart's Voice","barts voice","Unknown"
234,"Krabappel's Mouth","krabappels mouth","Unknown"
235,"GRANDMA","grandma","Unknown"
236,"Nurse Farrell","nurse farrell","Unknown"
241,"Entire Town","entire town","Unknown"
242,"Thomas Jefferson","thomas jefferson","Unknown"
243,"John Adams","john adams","Unknown"
244,"Samuel Chase","samuel chase","Unknown"
245,"Roger Sherman","roger sherman","Unknown"
246,"Benjamin Franklin","benjamin franklin","Unknown"
247,"Tv Host","tv host","Unknown"
248,"Tv Contestant","tv contestant","Unknown"
249,"Good-looking Man","good-looking man","Unknown"
250,"Dr. H. Boyle","dr h boyle","Unknown"
251,"Mr. Winfield","mr winfield","Unknown"
252,"Mourners","mourners","Unknown"
253,"Other Runner","other runner","Unknown"
254,"Jake","jake","Unknown"
255,"Woman Applicant","woman applicant","Unknown"
257,"Man In Tuxedo","man in tuxedo","Unknown"
258,"Executive #1","executive 1","Unknown"
259,"Executive #3","executive 3","Unknown"
260,"Moving Man","moving man","Unknown"
261,"House","house","Unknown"
262,"Kang","kang","Unknown"
263,"Serak The Preparer","serak the preparer","Unknown"
264,"Kodos","kodos","Unknown"
265,"V.O.","vo","Unknown"
266,"Raven","raven","Unknown"
267,"Dave Shutton","dave shutton","Unknown"
268,"Chief Inspector","chief inspector","Unknown"
269,"Dean Danielson","dean danielson","Unknown"
271,"DANEILSON","daneilson","Unknown"
274,"OLD BEARDED GUY","old bearded guy","Unknown"
275,"Charles Darwin","charles darwin","Unknown"
276,"Singers","singers","Unknown"
277,"MARY BAILEY","mary bailey","Unknown"
278,"Investigator #1","investigator 1","Unknown"
279,"Investigator #2","investigator 2","Unknown"
280,"Investigator #3","investigator 3","Unknown"
281,"Make-up Man","make-up man","Unknown"
282,"Gregor","gregor","Unknown"
283,"GAMMILL","gammill","Unknown"
